address,lat,lng,location_type
7801 Tree Ln,43.0640533,-89.5186334,RANGE_INTERPOLATED
7805 Tree Ln,43.0640533,-89.5186335,RANGE_INTERPOLATED
7809 Tree Ln,43.0640533,-89.5186335,RANGE_INTERPOLATED
7811 Tree Ln,43.0640533,-89.5186335,RANGE_INTERPOLATED
7815 Tree Ln,43.0640533,-89.5186336,RANGE_INTERPOLATED
7414 Whitacre Rd,43.0729692,-89.5116872,ROOFTOP
7418 Whitacre Rd,43.0725636,-89.5113687,RANGE_INTERPOLATED
7422 Whitacre Rd,43.0726059,-89.5114024,RANGE_INTERPOLATED
531 N Pinckney St,43.0796441,-89.3884167,RANGE_INTERPOLATED
404 S Blount St,43.076256,-89.373395,ROOFTOP
410 S Blount St,43.0767734,-89.372996,RANGE_INTERPOLATED
428 S Blount St,43.076711,-89.3729172,RANGE_INTERPOLATED
1801 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
1803 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
1809 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
1811 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
1815 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
1817 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
1819 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
1821 Conservation Pl,43.0475222,-89.345655,GEOMETRIC_CENTER
5325 Garden View Ct,43.0477272,-89.3452232,RANGE_INTERPOLATED
5327 Garden View Ct,43.0477376,-89.3452236,RANGE_INTERPOLATED
5329 Garden View Ct,43.047748,-89.345224,RANGE_INTERPOLATED
5331 Garden View Ct,43.0477584,-89.3452244,RANGE_INTERPOLATED
5333 Garden View Ct,43.0477687,-89.3452248,RANGE_INTERPOLATED
5335 Garden View Ct,43.0477791,-89.3452252,RANGE_INTERPOLATED
5337 Garden View Ct,43.0477895,-89.3452257,RANGE_INTERPOLATED
5339 Garden View Ct,43.0477999,-89.3452261,RANGE_INTERPOLATED
5343 Garden View Ct,43.0478206,-89.3452269,RANGE_INTERPOLATED
5345 Garden View Ct,43.047831,-89.3452273,RANGE_INTERPOLATED
5347 Garden View Ct,43.0478414,-89.3452277,RANGE_INTERPOLATED
5353 Garden View Ct,43.0478725,-89.3452289,RANGE_INTERPOLATED
5355 Garden View Ct,43.0478829,-89.3452293,RANGE_INTERPOLATED
5357 Garden View Ct,43.0478933,-89.3452298,RANGE_INTERPOLATED
5358 Garden View Ct,43.0479029,-89.345267,RANGE_INTERPOLATED
5361 Garden View Ct,43.047914,-89.3452306,RANGE_INTERPOLATED
5363 Garden View Ct,43.0479244,-89.345231,RANGE_INTERPOLATED
5365 Garden View Ct,43.0479348,-89.3452314,RANGE_INTERPOLATED
5367 Garden View Ct,43.0479451,-89.3452318,RANGE_INTERPOLATED
5369 Garden View Ct,43.0479555,-89.3452322,RANGE_INTERPOLATED
5371 Garden View Ct,43.0479659,-89.3452326,RANGE_INTERPOLATED
5373 Garden View Ct,43.0479763,-89.345233,RANGE_INTERPOLATED
5375 Garden View Ct,43.0479867,-89.3452334,RANGE_INTERPOLATED
5326 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5327 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5328 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5329 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5332 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5333 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5334 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5335 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
5337 Lake Park Blvd,43.047876,-89.3457816,GEOMETRIC_CENTER
1801 Lake Point Dr,43.0481269,-89.3451268,RANGE_INTERPOLATED
1805 Lake Point Dr,43.0481269,-89.3451268,RANGE_INTERPOLATED
1811 Lake Point Dr,43.0480526,-89.3459023,ROOFTOP
1813 Lake Point Dr,43.0480413,-89.3459434,ROOFTOP
3502 Dennett Dr,43.088775,-89.3279979,ROOFTOP
801 N Gammon Rd,43.0784686,-89.5023371,RANGE_INTERPOLATED
803 N Gammon Rd,43.078501,-89.5023363,RANGE_INTERPOLATED
805 N Gammon Rd,43.0785335,-89.5023356,RANGE_INTERPOLATED
807 N Gammon Rd,43.0785659,-89.5023349,RANGE_INTERPOLATED
809 N Gammon Rd,43.0785983,-89.5023341,RANGE_INTERPOLATED
811 N Gammon Rd,43.0786307,-89.5023334,RANGE_INTERPOLATED
817 N Gammon Rd,43.078728,-89.5023311,RANGE_INTERPOLATED
819 N Gammon Rd,43.0787605,-89.5023304,RANGE_INTERPOLATED
821 N Gammon Rd,43.0787929,-89.5023296,RANGE_INTERPOLATED
823 N Gammon Rd,43.0788253,-89.5023289,RANGE_INTERPOLATED
6912 Harvest Hill Rd,43.079265,-89.501955,ROOFTOP
6914 Harvest Hill Rd,43.0782847,-89.5012576,RANGE_INTERPOLATED
